datetime,LF,HF,DSAR
2017-12-01 00:00:00,1.407754649894012,0.4399137482149735,3.2000696854922612
2017-12-01 00:10:00,1.7163303717576563,0.5388413486149828,3.1852239553799024
2017-12-01 00:20:00,1.5462209322527734,0.5976715723459147,2.587074580414988
2017-12-01 00:30:00,2.0185781069059514,0.8536288779055763,2.3647022249981045
2017-12-01 00:40:00,1.8123336595201165,0.6071093702786321,2.9851847924672095
2017-12-01 00:50:00,2.385629020058155,0.8434235366822829,2.82850657623611
2017-12-01 01:00:00,2.083470263952613,0.6870042310289426,3.032689130359721
2017-12-01 01:10:00,1.498491861112701,0.5587676771853904,2.681779784866698
2017-12-01 01:20:00,1.3527296557684716,0.5025688878670797,2.691630318600709
2017-12-01 01:30:00,1.1457451317046203,0.3883701949389251,2.9501366135596467
2017-12-01 01:40:00,1.162346711564335,0.4367593402247834,2.661297892258284
2017-12-01 01:50:00,1.1773089033134618,0.4195824620288904,2.8059058942087005
2017-12-01 02:00:00,1.160766578276819,0.387140126215322,2.998311204845805
2017-12-01 02:10:00,1.22822150004643,0.4695577737179834,2.6156983629965422
2017-12-01 02:20:00,1.3047502335101289,0.4192007529069479,3.112471111901249
2017-12-01 02:30:00,1.253605531795083,0.3921128726117144,3.197052734956887
2017-12-01 02:40:00,1.1459716519529994,0.3558026993289986,3.22080651471775
2017-12-01 02:50:00,1.2096497773662356,0.3805934852804272,3.17832496915954
2017-12-01 03:00:00,1.0922526861138095,0.4324888490494766,2.525504850620683
2017-12-01 03:10:00,6.235529830329172e-14,3.00190415521212e-15,20.771915117618263
2017-12-01 03:20:00,0.5749831002476901,0.256125339541123,2.2449286012771568
2017-12-01 03:30:00,1.1306229650726047,0.4770686533755043,2.3699376537797443
2017-12-01 03:40:00,2.890526636447571,1.356487322665508,2.1308910066093825
2017-12-01 03:50:00,2.0175605186504084,0.8364834888673984,2.4119549823777064
2017-12-01 04:00:00,1.393329327442554,0.5270781940710899,2.6434964358526054
2017-12-01 04:10:00,1.021085751264578,0.4028296671425259,2.5347828984584337
2017-12-01 04:20:00,1.218267554096779,0.4811970380579161,2.5317436678613765
2017-12-01 04:30:00,1.3763272527956032,0.4942526194519372,2.7846635478063297
2017-12-01 04:40:00,2.744488716844371,1.2044939202832268,2.278540946224973
2017-12-01 04:50:00,1.2683201465749423,0.496225270532317,2.555936228750249
2017-12-01 05:00:00,0.9400857329025466,0.4167980572538842,2.255494517168328
2017-12-01 05:10:00,1.1847975893271605,0.5803163931096238,2.0416407383882884
2017-12-01 05:20:00,0.9433616119365796,0.3526547578324669,2.675028738403511
2017-12-01 05:30:00,1.262912127628829,0.6003044083983582,2.103786195737494
2017-12-01 05:40:00,1.0427344130044651,0.405259219696923,2.573006022624936
2017-12-01 05:50:00,1.0074177061288112,0.3897459828233449,2.584805874921437
2017-12-01 06:00:00,1.0764980724461817,0.4171323074912938,2.5807113309453973
2017-12-01 06:10:00,1.1688003055010792,0.4354132390112559,2.6843471920036506
2017-12-01 06:20:00,1.099319805333884,0.4235854759627058,2.5952726609320114
2017-12-01 06:30:00,1.285578432137151,0.5122395123368153,2.5097213338197903
2017-12-01 06:40:00,1.0848906537155782,0.405480034896132,2.67557107711477
2017-12-01 06:50:00,1.1951233410111035,0.4891765397650319,2.4431329875000993
2017-12-01 07:00:00,1.3377900865250774,0.5301593173094128,2.5233737158755116
2017-12-01 07:10:00,1.2958195185969328,0.4553099852580131,2.8460160342466976
2017-12-01 07:20:00,1.330738594640246,0.4654916283378525,2.8587809396099377
2017-12-01 07:30:00,1.0307375943202188,0.3311192726710248,3.1128891592616
2017-12-01 07:40:00,1.10316139378944,0.3772009963681177,2.9245983027914475
2017-12-01 07:50:00,2.383683980694882,0.8606704900150508,2.769566295520598
2017-12-01 08:00:00,1.2559744127385046,0.4493365233223898,2.795175436556642
2017-12-01 08:10:00,0.9387604476382826,0.3847733001790862,2.439775439723475
2017-12-01 08:20:00,0.8662730922392772,0.3461313774224805,2.502729162233457
2017-12-01 08:30:00,0.8820445960293946,0.3309261083058782,2.6653823131238474
2017-12-01 08:40:00,41.03002070316024,16.65582779224963,2.463403273312691
2017-12-01 08:50:00,53.1873593836648,21.712124400258727,2.449661691466313
2017-12-01 09:00:00,23.061787523872177,8.468569235309323,2.7232212293567937
2017-12-01 09:10:00,11.103881253989028,4.473904862851321,2.481921630964739
2017-12-01 09:20:00,7.338963236371764,2.749431213983396,2.669265991833642
2017-12-01 09:30:00,5.659223679658755,2.1202269181630946,2.6691594334448636
2017-12-01 09:40:00,3.6037755956188375,1.3788461628738156,2.613616872318653
2017-12-01 09:50:00,2.6048353819574928,0.9939271603347486,2.6207507812546345
2017-12-01 10:00:00,1.975978867966252,0.7464629934472852,2.6471223427177097
2017-12-01 10:10:00,1.3540626720453786,0.5805885764480772,2.3322241032182527
2017-12-01 10:20:00,1.4634002505998114,0.6308978962131979,2.3195516412140447
2017-12-01 10:30:00,1.0976921666977533,0.452089895833566,2.428039593041163
2017-12-01 10:40:00,1.1176212369926426,0.5340692540073231,2.0926522704812323
2017-12-01 10:50:00,0.6798921345110425,0.3342267388015302,2.03422424234817
2017-12-01 11:00:00,0.7791841243277067,0.3727763860014977,2.090218569597314
2017-12-01 11:10:00,0.6230455894397913,0.2834179592638514,2.198327837297563
2017-12-01 11:20:00,0.5881107172451927,0.2685974534150999,2.1895617764339184
2017-12-01 11:30:00,0.5319514473297315,0.2441253967317581,2.1790090439227554
2017-12-01 11:40:00,0.4976584485340538,0.2206253226423017,2.2556723887080903
